	Heater Time	Heater 6 	Heater 7	Heater 8	Heater 9	Heater 10	Heater 11	Heater 12	Heater 13	Heater 14	Heater 15	Heater 16	Heater 17	Program Time	MFC 1	MFC Time	Cycles Remaining	Recipe	Loop
	158.3	200.0	199.3	200.0	199.8	36.1	56.5	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766121.8	19.897	159.091	185	Thermal Al2O3 STANDARD	
	160.3	200.0	199.3	200.0	199.8	36.1	56.5	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766124.8	19.849	162.090	185	Thermal Al2O3 STANDARD	
	164.3	199.9	199.2	200.0	199.8	36.1	56.4	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766127.8	19.952	165.090	185	Thermal Al2O3 STANDARD	
	166.3	199.8	199.1	199.9	199.7	36.1	56.4	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766130.8	19.904	168.091	185	Thermal Al2O3 STANDARD	
	170.3	200.0	199.3	200.0	199.8	36.2	56.4	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766133.8	19.904	171.091	185	Thermal Al2O3 STANDARD	
	172.3	200.0	199.2	199.9	199.8	36.1	56.4	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766136.8	19.946	174.091	185	Thermal Al2O3 STANDARD	
	176.3	199.9	198.9	199.7	199.6	36.0	56.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766139.8	19.922	177.091	185	Thermal Al2O3 STANDARD	
	178.3	200.0	199.2	200.0	199.6	36.0	56.2	27.5	 0.0	 0.0	28.1	 0.0	 0.0	766142.8	19.873	180.091	185	Thermal Al2O3 STANDARD	
	182.3	199.9	199.2	200.0	199.8	36.2	56.3	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766145.8	19.861	183.091	185	Thermal Al2O3 STANDARD	
	184.3	199.9	199.1	200.0	199.8	36.1	56.2	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766148.8	19.916	186.091	185	Thermal Al2O3 STANDARD	
